WMO,DWD,Name,Label,Lat.,Lon.,Type,Admin
F210,3906,PERLEBERG,Perleberg,53.1,11.87,town,9
E387,5762,ZERNIEN,Zernien,53.07,10.88,village,8
10224,691,BREMEN,Bremen,53.05,8.8,city,6
10291,164,ANGERMUENDE,Angermünde,53.03,14.0,town,8
E402,6159,DOERPEN,Dörpen,52.97,7.32,town,8
10235,4745,SOLTAU,Soltau,52.97,9.8,town,8
10253,3093,LUECHOW,Lüchow,52.97,11.13,town,8
F263,5745,ZEHDENICK,Zehdenick,52.97,13.33,town,8
E475,5146,UELZEN,Uelzen,52.93,10.53,town,8
10267,2794,KYRITZ,Kyritz,52.93,12.42,town,8
10246,1339,FASSBERG,Faßberg,52.92,10.18,village,8
E445,4600,SCHWARME,Schwarme,52.9,9.05,village,8
10261,4642,SEEHAUSEN,Seehausen,52.9,11.73,town,10
10270,3552,NEURUPPIN,Neuruppin,52.9,12.82,town,8
E438,5822,BASSUM,Bassum,52.87,8.7,town,8
E571,1336,"FALLINGBOSTEL, BAD",Bad Fallingbostel,52.85,9.68,town,8
E513,1792,GROSS BERSSEN,Groß Berßen,52.77,7.48,village,8
N104,966,DIESDORF,Diesdorf,52.75,10.88,village,10
E525,3044,LOENINGEN,Löningen,52.72,7.75,town,8
E545,292,BARNSTORF,Barnstorf,52.7,8.48,town,8
E662,4601,ESSEL,Essel,52.68,9.65,village,8
N199,4555,SCHOLLENE,Schollene,52.67,12.18,village,8
10343,850,CELLE,Celle,52.6,10.02,town,8
10321,963,DIEPHOLZ,Diepholz,52.58,8.35,town,8
F451,53,AHRENSFELDE,Ahrensfelde,52.58,13.57,town,8
H261,2027,HARSEWINKEL,Harsewinkel,51.98,8.22,town,8
F770,2997,LIEBEROSE,Lieberose,51.98,14.3,town,8
H119,871,COESFELD,Coesfeld,51.97,7.15,town,8
10442,7367,ALFELD,Alfeld (Leine),51.97,9.8,town,8
H281,2810,"LAGE, KREIS LIPPE-HO",Lage,51.95,8.77,town,8
E805,3844,OTTENSTEIN,Ottenstein,51.95,9.4,village,8
